spacy_word	spacy_lemma	spacy_pos	spacy_tag	dependency	dependency_head	dependency_head_pos	dependency_children	text_id_numeric	text_id	sent_index_in_text
im	in	ADP	APPRART	mo	beschreiben	VERB	[Magnetfeld]	6	p0	1
Magnetfeld	Magnetfeld	NOUN	NN	nk	im	ADP	[]	6	p0	1
einen	ein	DET	ART	nk	Halbkreis	NOUN	[]	6	p0	1
Halbkreis	Halbkreis	NOUN	NN	oa	beschreiben	VERB	[einen, in, und]	6	p0	1
in	in	ADP	APPR	mnr	Halbkreis	NOUN	[x-y-Ebene]	6	p0	1
der	der	DET	ART	nk	x-y-Ebene	PROPN	[]	6	p0	1
x-y-Ebene	x-y-Ebene	PROPN	NN	nk	in	ADP	[der, ,, festgelegt]	6	p0	1
,	--	PUNCT	$,	punct	x-y-Ebene	PROPN	[]	6	p0	1
dessen	dessen	DET	PRELAT	ag	Radius	NOUN	[]	6	p0	1
Radius	Radius	NOUN	NN	sb	festgelegt	VERB	[dessen]	6	p0	1
durch	durch	ADP	APPR	mo	festgelegt	VERB	[Lorentzkraft]	6	p0	1
die	der	DET	ART	nk	Lorentzkraft	NOUN	[]	6	p0	1
als	als	ADP	APPR	mo	wirkende	ADJ	[Zentripetalkraft]	6	p0	1
Zentripetalkraft	Zentripetalkraft	NOUN	NN	nk	als	ADP	[]	6	p0	1
wirkende	wirkend	ADJ	ADJA	nk	Lorentzkraft	NOUN	[als]	6	p0	1
Lorentzkraft	Lorentzkraft	NOUN	NN	nk	durch	ADP	[die, wirkende]	6	p0	1
festgelegt	festlegen	VERB	VVPP	rc	x-y-Ebene	PROPN	[Radius, durch]	6	p0	1
und	und	CCONJ	KON	cd	Halbkreis	NOUN	[ist]	6	p0	1
dessen	der	DET	PRELAT	ag	Umlaufszeit	NOUN	[]	6	p0	1
Umlaufszeit	Umlaufszeit	NOUN	NN	sb	ist	AUX	[dessen]	6	p0	1
unabhängig	unabhängig	ADV	ADJD	pd	ist	AUX	[vom]	6	p0	1
vom	von	ADP	APPRART	mo	unabhängig	ADV	[Radius]	6	p0	1
Radius	Radius	NOUN	NN	nk	vom	ADP	[]	6	p0	1
ist	sein	AUX	VAFIN	cj	und	CCONJ	[Umlaufszeit, unabhängig]	6	p0	1
.	--	PUNCT	$.	punct	beschreiben	VERB	[]	6	p0	1
Wird	werden	AUX	VAFIN	mo	nimmt	VERB	[Hochfrequenz, gewählt]	6	p0	1
die	der	DET	ART	nk	Hochfrequenz	NOUN	[]	6	p0	1
Hochfrequenz	Hochfrequenz	NOUN	NN	sb	Wird	AUX	[die]	6	p0	1
nun	nun	ADV	ADV	mo	gewählt	VERB	[ankommen]	6	p0	1
genau	genau	ADV	ADJD	mo	so	ADV	[]	6	p0	1
so	so	ADV	ADV	mo	gewählt	VERB	[genau]	6	p0	1
gewählt	wählen	VERB	VVPP	oc	Wird	AUX	[nun, so, ,]	6	p0	1
,	--	PUNCT	$,	punct	gewählt	VERB	[]	6	p0	1
dass	dass	SCONJ	KOUS	cp	ankommen	VERB	[]	6	p0	1
die	der	DET	ART	nk	Ionen	NOUN	[anliegt]	6	p0	1
Ionen	Ione	NOUN	NN	sb	ankommen	VERB	[die]	6	p0	1
nach	nach	ADP	APPR	mo	ankommen	VERB	[Durchlaufen]	6	p0	1
Durchlaufen	durchlaufen	NOUN	NN	nk	nach	ADP	[Halbkreises]	6	p0	1
des	der	DET	ART	nk	Halbkreises	NOUN	[]	6	p0	1
Halbkreises	Halbkreis	NOUN	NN	ag	Durchlaufen	NOUN	[des]	6	p0	1
immer	immer	ADV	ADV	mo	zu	ADP	[]	6	p0	1
zu	zu	ADP	APPR	mo	ankommen	VERB	[immer, Zeitpunkt]	6	p0	1
einem	ein	DET	ART	nk	Zeitpunkt	NOUN	[]	6	p0	1
Zeitpunkt	Zeitpunkt	NOUN	NN	nk	zu	ADP	[einem]	6	p0	1
wieder	wieder	ADV	ADV	mo	ankommen	VERB	[]	6	p0	1
am	an	ADP	APPRART	mo	ankommen	VERB	[Spalt]	6	p0	1
Spalt	Spalt	NOUN	NN	nk	am	ADP	[]	6	p0	1
ankommen	ankommen	VERB	VVFIN	re	nun	ADV	[dass, Ionen, nach, zu, wieder, am, ,]	6	p0	1
,	--	PUNCT	$,	punct	ankommen	VERB	[]	6	p0	1
bei	bei	ADP	APPR	mo	anliegt	VERB	[dem]	6	p0	1
dem	der	PRON	PRELS	nk	bei	ADP	[]	6	p0	1
die	der	DET	ART	nk	Polarität	NOUN	[]	6	p0	1
richtige	richtig	ADJ	ADJA	nk	Polarität	NOUN	[]	6	p0	1
Polarität	Polarität	NOUN	NN	sb	anliegt	VERB	[die, richtige, Beschleunigungsspannung]	6	p0	1
der	der	DET	ART	nk	Beschleunigungsspannung	NOUN	[]	6	p0	1
Beschleunigungsspannung	Beschleunigungsspannung	NOUN	NN	ag	Polarität	NOUN	[der]	6	p0	1
anliegt	anliegen	VERB	VVFIN	rc	die	DET	[bei, Polarität]	6	p0	1
,	--	PUNCT	$,	punct	nimmt	VERB	[]	6	p0	1
nimmt	nehmen	VERB	VVFIN	ROOT	nimmt	VERB	[Wird, ,, Energie, zu, ,, wächst, .]	6	p0	1
ihre	ihr	DET	PPOSAT	nk	Energie	NOUN	[]	6	p0	1
kinetische	kinetisch	ADJ	ADJA	nk	Energie	NOUN	[]	6	p0	1
Energie	Energie	NOUN	NN	oa	nimmt	VERB	[ihre, kinetische, bei]	6	p0	1
bei	bei	ADP	APPR	mnr	Energie	NOUN	[Durchlaufen]	6	p0	1
Durchlaufen	durchlaufe	NOUN	NN	nk	bei	ADP	[Spaltes]	6	p0	1
des	der	DET	ART	nk	Spaltes	NOUN	[]	6	p0	1
Spaltes	Spalt	NOUN	NN	ag	Durchlaufen	NOUN	[des]	6	p0	1
zu	zu	ADP	PTKVZ	svp	nimmt	VERB	[]	6	p0	1
,	--	PUNCT	$,	punct	nimmt	VERB	[]	6	p0	1
ihre	ihr	DET	PPOSAT	nk	Geschwindigkeit	NOUN	[]	6	p0	1
Geschwindigkeit	Geschwindigkeit	NOUN	NN	sb	wächst	VERB	[ihre]	6	p0	1
wächst	wachsen	VERB	VVFIN	cj	nimmt	VERB	[Geschwindigkeit, und]	6	p0	1
und	und	CCONJ	KON	cd	wächst	VERB	[Radius]	6	p0	1
daher	daher	ADV	PROAV	mo	Radius	NOUN	[]	6	p0	1
auch	auch	ADV	ADV	mo	Radius	NOUN	[]	6	p0	1
der	der	DET	ART	nk	Radius	NOUN	[]	6	p0	1
Radius	Radius	NOUN	NN	cj	und	CCONJ	[daher, auch, der, Halbkreises]	6	p0	1
des	der	DET	ART	nk	Halbkreises	NOUN	[]	6	p0	1
nächsten	nächster	ADJ	ADJA	nk	Halbkreises	NOUN	[]	6	p0	1
Halbkreises	Halbkreis	NOUN	NN	ag	Radius	NOUN	[des, nächsten]	6	p0	1
.	--	PUNCT	$.	punct	nimmt	VERB	[]	6	p0	1
Die	der	DET	ART	nk	Ionen	NOUN	[]	6	p0	1
Ionen	Ione	NOUN	NN	sb	durchlaufen	VERB	[Die]	6	p0	1
durchlaufen	durchlaufen	VERB	VVFIN	ROOT	durchlaufen	VERB	[Ionen, deshalb, Bahn, .]	6	p0	1
deshalb	deshalb	ADV	PROAV	mo	durchlaufen	VERB	[]	6	p0	1
eine	ein	DET	ART	nk	Bahn	NOUN	[]	6	p0	1
spiralartige	spiralartig	ADJ	ADJA	nk	Bahn	NOUN	[]	6	p0	1
Bahn	Bahn	NOUN	NN	oa	durchlaufen	VERB	[eine, spiralartige, ,, besteht]	6	p0	1
,	--	PUNCT	$,	punct	Bahn	NOUN	[]	6	p0	1
die	der	PRON	PRELS	sb	besteht	VERB	[]	6	p0	1
aus	aus	ADP	APPR	mo	besteht	VERB	[Halbkreisen]	6	p0	1
lauter	lauter	DET	PIAT	nk	Halbkreisen	NOUN	[]	6	p0	1
Halbkreisen	Halbkreis	NOUN	NN	nk	aus	ADP	[lauter]	6	p0	1
mit	mit	ADP	APPR	mo	besteht	VERB	[Radien]	6	p0	1
wachsenden	wachsend	ADJ	ADJA	nk	Radien	NOUN	[]	6	p0	1
Radien	Radi	NOUN	NN	nk	mit	ADP	[wachsenden]	6	p0	1
besteht	bestehen	VERB	VVFIN	rc	Bahn	NOUN	[die, aus, mit, ,, haben]	6	p0	1
,	--	PUNCT	$,	punct	besteht	VERB	[]	6	p0	1
bis	bis	SCONJ	KOUS	cp	haben	AUX	[]	6	p0	1
sie	sie	PRON	PPER	sb	haben	AUX	[]	6	p0	1
den	der	DET	ART	nk	Rand	NOUN	[]	6	p0	1
Rand	Rand	NOUN	NN	oa	erreicht	VERB	[den, Magnetfeldes]	6	p0	1
des	der	DET	ART	nk	Magnetfeldes	NOUN	[]	6	p0	1
Magnetfeldes	Magnetfeld	NOUN	NN	ag	Rand	NOUN	[des]	6	p0	1
erreicht	erreichen	VERB	VVPP	oc	haben	AUX	[Rand]	6	p0	1
haben	haben	AUX	VAFIN	mo	besteht	VERB	[bis, sie, erreicht, und]	6	p0	1
und	und	CCONJ	KON	cd	haben	AUX	[können]	6	p0	1
dort	dort	ADV	ADV	mo	extrahiert	VERB	[]	6	p0	1
durch	durch	ADP	APPR	mo	extrahiert	VERB	[Ablenkfeld]	6	p0	1
ein	ein	DET	ART	nk	Ablenkfeld	NOUN	[]	6	p0	1
elektrisches	elektrisch	ADJ	ADJA	nk	Ablenkfeld	NOUN	[]	6	p0	1
Ablenkfeld	Ablenkfeld	NOUN	NN	nk	durch	ADP	[ein, elektrisches]	6	p0	1
extrahiert	extrahiern	VERB	VVPP	oc	werden	AUX	[dort, durch]	6	p0	1
werden	werden	AUX	VAINF	oc	können	AUX	[extrahiert]	6	p0	1
können	können	AUX	VMFIN	cj	und	CCONJ	[werden]	6	p0	1
.	--	PUNCT	$.	punct	durchlaufen	VERB	[]	6	p0	1
Um	um	SCONJ	KOUI	cp	können	AUX	[]	0	b0	1
das	der	DET	ART	nk	Vorhandensein	NOUN	[]	0	b0	1
Vorhandensein	Vorhandensein	NOUN	NN	oa	feststellen	VERB	[das, Polymerasekettenreaktion-Produkte]	0	b0	1
der	der	DET	ART	nk	Polymerasekettenreaktion-Produkte	NOUN	[]	0	b0	1
Polymerasekettenreaktion-Produkte	Polymerasekettenreaktion-Produkt	NOUN	NN	ag	Vorhandensein	NOUN	[der]	0	b0	1
feststellen	feststellen	VERB	VVINF	oc	können	AUX	[Vorhandensein]	0	b0	1
zu	zu	PART	PTKZU	pm	können	AUX	[]	0	b0	1
können	können	AUX	VMINF	mo	verwendet	VERB	[Um, feststellen, zu]	0	b0	1
,	--	PUNCT	$,	punct	verwendet	VERB	[]	0	b0	1
verwendet	verwenden	VERB	VVFIN	ROOT	verwendet	VERB	[können, ,, man, Gelelektrophorese, mit, .]	0	b0	1
man	man	PRON	PIS	sb	verwendet	VERB	[]	0	b0	1
die	der	DET	ART	nk	Gelelektrophorese	NOUN	[]	0	b0	1
Gelelektrophorese	Gelelektrophorese	NOUN	NN	oa	verwendet	VERB	[die]	0	b0	1
mit	mit	ADP	APPR	mo	verwendet	VERB	[Behandlung]	0	b0	1
einer	ein	DET	ART	nk	Behandlung	NOUN	[]	0	b0	1
anschließenden	anschließend	ADJ	ADJA	nk	Behandlung	NOUN	[]	0	b0	1
Behandlung	Behandlung	NOUN	NN	nk	mit	ADP	[einer, anschließenden, Gels]	0	b0	1
des	der	DET	ART	nk	Gels	NOUN	[]	0	b0	1
Gels	Gel	NOUN	NN	ag	Behandlung	NOUN	[des, durch]	0	b0	1
durch	durch	ADP	APPR	mnr	Gels	NOUN	[Ethidiumbromid]	0	b0	1
Ethidiumbromid	Ethidiumbromid	PROPN	NN	nk	durch	ADP	[]	0	b0	1
.	--	PUNCT	$.	punct	verwendet	VERB	[]	0	b0	1
Bei	bei	ADP	APPR	mo	genutzt	VERB	[Methode]	0	b0	1
dieser	dieser	DET	PDAT	nk	Methode	NOUN	[]	0	b0	1
Methode	Methode	NOUN	NN	nk	Bei	ADP	[dieser]	0	b0	1
wird	werden	AUX	VAFIN	ROOT	wird	AUX	[Ladung, genutzt, .]	0	b0	1
die	der	DET	ART	nk	Ladung	NOUN	[]	0	b0	1
negative	negativ	ADJ	ADJA	nk	Ladung	NOUN	[]	0	b0	1
Ladung	Ladung	NOUN	NN	sb	wird	AUX	[die, negative, DNA-Fragmente]	0	b0	1
der	der	DET	ART	nk	DNA-Fragmente	NOUN	[]	0	b0	1
DNA-Fragmente	DNA-Fragmente	NOUN	NN	ag	Ladung	NOUN	[der]	0	b0	1
genutzt	nutzen	VERB	VVPP	oc	wird	AUX	[Bei]	0	b0	1
.	--	PUNCT	$.	punct	wird	AUX	[]	0	b0	1
Die	der	DET	ART	nk	DNA-Fragmente	NOUN	[]	0	b0	1
DNA-Fragmente	DNA-Fragmente	NOUN	NN	sb	sind	AUX	[Die]	0	b0	1
sind	sein	AUX	VAFIN	ROOT	sind	AUX	[DNA-Fragmente, geladen, .]	0	b0	1
auf	auf	ADP	APPR	mo	geladen	VERB	[Grund]	0	b0	1
Grund	Grund	NOUN	NN	nk	auf	ADP	[Phosphatreste]	0	b0	1
der	der	DET	ART	nk	Phosphatreste	NOUN	[]	0	b0	1
darin	darin	ADV	PROAV	mo	enthaltenen	ADJ	[]	0	b0	1
enthaltenen	enthalten	ADJ	ADJA	nk	Phosphatreste	NOUN	[darin]	0	b0	1
Phosphatreste	Phosphatreste	NOUN	NN	ag	Grund	NOUN	[der, enthaltenen]	0	b0	1
negativ	negativ	ADV	ADJD	mo	geladen	VERB	[]	0	b0	1
geladen	laden	VERB	VVPP	oc	sind	AUX	[auf, negativ]	0	b0	1
.	--	PUNCT	$.	punct	sind	AUX	[]	0	b0	1
Anlegen	anlegen	NOUN	NN	sb	lässt	VERB	[Feldes]	0	b0	1
eines	ein	DET	ART	nk	Feldes	NOUN	[]	0	b0	1
elektrischen	elektrisch	ADJ	ADJA	nk	Feldes	NOUN	[]	0	b0	1
Feldes	Feld	NOUN	NN	ag	Anlegen	NOUN	[eines, elektrischen]	0	b0	1
lässt	lässen	VERB	VVFIN	ROOT	lässt	VERB	[Anlegen, Polymerasekettenreaktion-Produkte, durch, wandern, .]	0	b0	1
die	der	DET	ART	nk	Polymerasekettenreaktion-Produkte	NOUN	[]	0	b0	1
Polymerasekettenreaktion-Produkte	Polymerasekettenreaktion-Produkt	NOUN	NN	oa	lässt	VERB	[die]	0	b0	1
durch	durch	ADP	APPR	mo	lässt	VERB	[Medium]	0	b0	1
ein	ein	DET	ART	nk	Medium	NOUN	[]	0	b0	1
gelartiges	gelartig	ADJ	ADJA	nk	Medium	NOUN	[]	0	b0	1
Medium	Medium	NOUN	NN	nk	durch	ADP	[ein, gelartiges, ,, Agarose]	0	b0	1
,	--	PUNCT	$,	punct	Medium	NOUN	[]	0	b0	1
zumeist	zumeist	ADV	ADV	mo	Agarose	NOUN	[]	0	b0	1
Agarose	agarose	NOUN	NN	par	Medium	NOUN	[zumeist]	0	b0	1
,	--	PUNCT	$,	punct	wandern	VERB	[]	0	b0	1
wandern	wandern	VERB	VVINF	oc	lässt	VERB	[,]	0	b0	1
.	--	PUNCT	$.	punct	lässt	VERB	[]	0	b0	1
Die	der	DET	ART	nk	DNA-Fragmente	NOUN	[]	0	b0	1
DNA-Fragmente	DNA-Fragmente	NOUN	NN	sb	wandern	VERB	[Die]	0	b0	1
wandern	wandern	VERB	VVFIN	ROOT	wandern	VERB	[DNA-Fragmente, durch, .]	0	b0	1
durch	durch	ADP	APPR	mo	wandern	VERB	[Agarose-Sieb]	0	b0	1
das	der	DET	ART	nk	Agarose-Sieb	NOUN	[]	0	b0	1
""""	--	PUNCT	$LRB	punct	Agarose-Sieb	NOUN	[]	0	b0	1
Agarose-Sieb	Agarose-Sieb	NOUN	NN	nk	durch	ADP	"[das, "", "", vom]"	0	b0	1
""""	--	PUNCT	$LRB	punct	Agarose-Sieb	NOUN	[]	0	b0	1
vom	von	ADP	APPRART	mnr	Agarose-Sieb	NOUN	[Minuspol]	0	b0	1
Minuspol	Minuspol	NOUN	NN	nk	vom	ADP	[zum]	0	b0	1
zum	zu	ADP	APPRART	mnr	Minuspol	NOUN	[Pluspol]	0	b0	1
Pluspol	Pluspol	NOUN	NN	nk	zum	ADP	[]	0	b0	1
.	--	PUNCT	$.	punct	wandern	VERB	[]	0	b0	1
Kleinere	Kleinere	ADJ	ADJA	nk	Fragmente	NOUN	[]	0	b0	1
Fragmente	Fragment	NOUN	NN	sb	wandern	VERB	[Kleinere]	0	b0	1
wandern	wandern	VERB	VVFIN	ROOT	wandern	VERB	[Fragmente, schneller, durch, ,, befinden, .]	0	b0	1
schneller	schnell	ADV	ADJD	mo	wandern	VERB	[]	0	b0	1
durch	durch	ADP	APPR	mo	wandern	VERB	[Agarose-Sieb]	0	b0	1
das	der	DET	ART	nk	Agarose-Sieb	NOUN	[]	0	b0	1
""""	--	PUNCT	$LRB	punct	Agarose-Sieb	NOUN	[]	0	b0	1
Agarose-Sieb	Agarose-Sieb	NOUN	NN	nk	durch	ADP	"[das, "", ""]"	0	b0	1
""""	--	PUNCT	$LRB	punct	Agarose-Sieb	NOUN	[]	0	b0	1
,	--	PUNCT	$,	punct	wandern	VERB	[]	0	b0	1
daher	daher	ADV	PROAV	mo	befinden	VERB	[]	0	b0	1
befinden	befinden	VERB	VVFIN	cj	wandern	VERB	[daher, sie, sich, in]	0	b0	1
sie	sie	PRON	PPER	sb	befinden	VERB	[]	0	b0	1
sich	sich	PRON	PRF	oa	befinden	VERB	[]	0	b0	1
in	in	ADP	APPR	mo	befinden	VERB	[Nähe]	0	b0	1
der	der	DET	ART	nk	Nähe	NOUN	[]	0	b0	1
Nähe	Nähe	NOUN	NN	nk	in	ADP	[der, zum]	0	b0	1
zum	zu	ADP	APPRART	mnr	Nähe	NOUN	[Pluspol]	0	b0	1
Pluspol	Pluspol	NOUN	NN	nk	zum	ADP	[Gels]	0	b0	1
des	der	DET	ART	nk	Gels	NOUN	[]	0	b0	1
Gels	Gel	NOUN	NN	ag	Pluspol	NOUN	[des]	0	b0	1
.	--	PUNCT	$.	punct	wandern	VERB	[]	0	b0	1
Die	der	DET	ART	nk	Fragmente	NOUN	[]	0	b0	1
größeren	groß	ADJ	ADJA	nk	Fragmente	NOUN	[]	0	b0	1
Fragmente	Fragment	NOUN	NN	sb	wandern	VERB	[Die, größeren]	0	b0	1
wandern	wandern	VERB	VVFIN	ROOT	wandern	VERB	[Fragmente, langsamer, und, .]	0	b0	1
langsamer	langsam	ADV	ADJD	mo	wandern	VERB	[]	0	b0	1
und	und	CCONJ	KON	cd	wandern	VERB	[bleiben]	0	b0	1
bleiben	bleiben	VERB	VVFIN	cj	und	CCONJ	[in]	0	b0	1
in	in	ADP	APPR	mo	bleiben	VERB	[Nähe]	0	b0	1
der	der	DET	ART	nk	Nähe	NOUN	[]	0	b0	1
Nähe	Nähe	NOUN	NN	nk	in	ADP	[der, zum]	0	b0	1
zum	zu	ADP	APPRART	mnr	Nähe	NOUN	[Minuspol]	0	b0	1
Minuspol	Minuspol	NOUN	NN	nk	zum	ADP	[]	0	b0	1
.	--	PUNCT	$.	punct	wandern	VERB	[]	0	b0	1
Um	um	SCONJ	KOUI	cp	machen	VERB	[]	0	b0	1
DNA-Fragmente	DNA-Fragmente	NOUN	NN	oa	machen	VERB	[]	0	b0	1
sichtbar	sichtbar	ADV	ADJD	mo	machen	VERB	[]	0	b0	1
zu	zu	PART	PTKZU	pm	machen	VERB	[]	0	b0	1
machen	machen	VERB	VVINF	mo	behandelt	VERB	[Um, DNA-Fragmente, sichtbar, zu]	0	b0	1
,	--	PUNCT	$,	punct	behandelt	VERB	[]	0	b0	1
behandelt	behandeln	VERB	VVFIN	ROOT	behandelt	VERB	[machen, ,, man, Gel, mit, .]	0	b0	1
man	man	PRON	PIS	sb	behandelt	VERB	[]	0	b0	1
das	der	DET	ART	nk	Gel	NOUN	[]	0	b0	1
Gel	Gel	NOUN	NN	oa	behandelt	VERB	[das]	0	b0	1
mit	mit	ADP	APPR	mo	behandelt	VERB	[Lösung]	0	b0	1
einer	ein	DET	ART	nk	Lösung	NOUN	[]	0	b0	1
wässrigen	wässrig	ADJ	ADJA	nk	Lösung	NOUN	[]	0	b0	1
Lösung	Lösung	NOUN	NN	nk	mit	ADP	[einer, wässrigen, von]	0	b0	1
von	von	ADP	APPR	pg	Lösung	NOUN	[Ethidiumbromid]	0	b0	1
Ethidiumbromid	Ethidiumbromid	PROPN	NN	nk	von	ADP	[]	0	b0	1
.	--	PUNCT	$.	punct	behandelt	VERB	[]	0	b0	1
Das	der	DET	ART	nk	Molekül	NOUN	[]	0	b0	1
Molekül	Molekül	NOUN	NN	sb	ist	AUX	[Das, Ethidiumbromids]	0	b0	1
des	der	DET	ART	nk	Ethidiumbromids	NOUN	[]	0	b0	1
Ethidiumbromids	Ethidiumbromid	NOUN	NN	ag	Molekül	NOUN	[des]	0	b0	1
